Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;Spanish;English;Chinese;
ejemplo1_begin_001;city;whats a python;;;;;;;Luego de un ajetreado viaje en el autobús finalmente llego a mi destino, el centro comercial Tulipán Marrón. Hacía ya bastante tiempo que no pisaba estas calles.;english;ching cheng;
ejemplo1_begin_002;;;;;;;;;La última vez que vine fue para ir al cine con mis padres cuando era niño, solo recuerdo que no me gustó la película.;English;ching chong;
ejemplo1_begin_003;;;;;;;;;Espero que el día de hoy si que sea especial.;english;ching chung;
ejemplo1_begin_004;mall;;;;;;;;Entro al centro comercial y apenas pongo un pie adentro puedo sentir el frío del aire acondicionado. Vaya cambio de temperatura.;
ejemplo1_begin_005;;;;;;;;;A ver, si no me equivoco el puesto de donas estaba…  sí, caminando recto y al llegar a la estatua girar a la izquierda.;
ejemplo1_begin_006;;;;;;;;;Inicio mi camino hacia el puesto de donas mientras miro los distintos locales, hay de todo, tiendas de perfumes, videojuegos, peluches, helados y muchas tiendas de ropa.;
ejemplo1_begin_007;;;;;;;;;Una de las tiendas parece ser de ropa elegante, alcanzo ver mi sueldo de un mes escrito en la etiqueta del precio de uno de los trajes.;
ejemplo1_begin_008;;;;;;;;;Vaya ¿por qué son tan caros los trajes? ¿están hechos de oro o qué?;
ejemplo1_begin_009;;;;;;;;;Con cada paso que doy se me acelera el corazón un poquito más, estoy cada vez más cerca del puesto de donas, espero no llegar muy tarde.;
ejemplo1_begin_010;;;;;;;;;¿Ya habrá llegado? ¿Debería darme prisa? Pero llegaría sudado a nuestro encuentro, no quiero que me vea así.;
ejemplo1_begin_011;;;;;;;;;Miles de ideas rondan por mi cabeza mientras miro vagamente las tiendas, al final decido mantener el mismo ritmo.;
ejemplo1_begin_012;;;;;;;;;Veo la estatua, bajo mi cabeza para ver mi cuerpo buscando algún defecto en mi ropa, me miro en uno de los cristales fijándome en si tengo algo en el rostro.;
ejemplo1_begin_013;;;;;;;;;Todo parece en orden, zapatos limpios, ropa planchada, peinado decente y ningún rastro de acné en la cara o lagañas en los ojos.;
ejemplo1_begin_014;;;;;;;;;Con el pulso acelerado llego a la estatua y giro a mi izquierda, trago saliva y miro con detenimiento a las personas en esa dirección.;
ejemplo1_begin_015;;;;;;;;;Veo a una familia, a varias parejas y a algunas personas caminando con algo de prisa.;
ejemplo1_begin_016;;;;;;;;;No la veo, que alivio, pensé que estaría esperándome mucho rato, aunque eso significa que ahora debo estar pendiente en si la veo llegar.;
ejemplo1_begin_017;;;;;;;;;Me acerco al puesto de donas mientras miro a las personas de mi alrededor, sigo sin verla, no debería tardar mucho en venir.;
ejemplo1_begin_018;;;;;;;;;El tiempo pasa y pasa y pasa y…. pasa.;
ejemplo1_begin_019;;;;;;;;;En varias ocasiones me siento tentado a ver mi celular pero estoy casi seguro de que cuando lo haga, ella llegará y no podré verla a tiempo.;
ejemplo1_begin_020;;;;;;;;;¿Qué pasa? ¿Por qué no ha llegado? ¿Me dejó plantado? Por favor, no de nuevo.;
ejemplo1_begin_021;;;;;;;;;Quizás su autobús se accidentó, o… ¿o tuvo un accidente? No no no, claro que no, no pienses en ello, esto…;
ejemplo1_begin_022;;;;;;katy;;katy;¿Berto?;
ejemplo1_begin_023;;;;;;;;*;Esa voz… ¡es ella!;
ejemplo1_begin_024;;;;;;;;;Me doy la vuelta repentinamente como si me acabaran de dar un susto, porque realmente me lo acaban de dar.;
ejemplo1_begin_025;;;;;;;;;Al voltear la veo a ella.;
ejemplo1_begin_026;;;;;;;;katy;¡Debes saber que es de muy mala educación hacer esperar a una chica!;
ejemplo1_begin_027;;;;;;;;berto;¿Q-qué? Pero… tengo como 10 minutos aquí esperando.;
ejemplo1_begin_028;;;;;;;;;Ella suspira con un tono algo molesto.;
ejemplo1_begin_029;;;;;;;;katy;¿Recuerdas que quedamos en vernos en el puesto de donas, pero en qué sitio del puesto de donas?;
ejemplo1_begin_030;;;;;;;;berto;Oh…. Detrás del puesto de donas, lo… lo siento por haberte hecho esperar.;
ejemplo1_begin_031;;;;;;;;*;La expresión de su rostro cambia al instante a una más alegre.;
ejemplo1_begin_032;;;;;;;;katy;No pasa nada, ¡vamos!;
ejemplo1_begin_033;;;;;;;;*;Ella es Katy, vamos a la misma universidad, ella es de la carrera de administración de empresas y yo soy de mecánica industrial.;
ejemplo1_begin_034;;;;;;;;;Nos conocimos de casualidad en una actividad conjunta en la que no pude ir con los de mi clase así que tuve que recuperar la actividad con una clase distinta.;
ejemplo1_begin_035;;;;;;;;;Es alguien muy amable y de inmediato me metió en su grupo de trabajo al ver que no pertenecía allí, desde entonces nos hemos hecho amigos y…;
ejemplo1_begin_036;;;;;;;;;¿Para qué mentir? Ella me gusta, así que la invité a salir con la excusa de aprovechar unas ofertas en comida rápida, aceptó y acordamos cada uno pagar lo suyo.;
ejemplo1_begin_037;;;;;;;;;Hoy está bastante arreglada, realmente nunca la había visto vestida de forma informal, como siempre ella lleva su bolso con un pequeño muñeco de “Alice”, tengo entendido que es de un anime bastante famoso.;
ejemplo1_begin_038;;;;;;;;;Yo por mi parte… no voy muy distinto a como voy a la universidad.;
ejemplo1_begin_039;;;;;;;;;Algo rígido camino junto a ella.;
ejemplo1_begin_040;;;;;;katy:move:70:0.5;;katy;Yo trabajé un tiempo allí en esa feria de verduras, ahí aprendí a cobrar a los clientes y a mantener todas las cuentas ordenadas, no se me escapaba nada.;
ejemplo1_begin_041;;;;;;;;berto;¿Ah sí? Trabajar para el público sería una tortura para mi, puedo tener mucha paciencia pero tengo cero carisma, preferiría trabajar moviendo las cajas llenas de frutas y verduras.;
ejemplo1_begin_042;;;;;;;;katy;Jajajaja, yo creo que sí que tienes algo de carisma, es solo que no te desenvuelves con todos, ya me gustaría a mi tener tu paciencia, en parte perdí mi trabajo ahí porque los clientes se quejaban mucho de mi.;
ejemplo1_begin_043;;;;;;;;;Pillé a un cliente intentando colar un billete falso y lo insulté, resulta que era un amigo del dueño.;
ejemplo1_begin_044;;;;;;;;*;Ella arruga la cara un poco demostrando un aire de sospecha.;
ejemplo1_begin_045;;;;;;;;katy;Era un amigo suyo súper cercano… quizás… demasiado cercano. Y bueno, terminaron echándome.;
ejemplo1_begin_046;;;;;;;;berto;Vaya… yo creo que no sería capaz de insultar a un extraño.;
ejemplo1_begin_047;;;;;;;;katy;Todos pensamos lo mismo hasta que atiendes a 40 personas en un día y aún quedan 4 horas laborales.;
ejemplo1_begin_048;;;;;;;;berto;Jaja, me recuerda al meme de “el hombre nace bueno, es trabajar de cara al público lo que lo corrompe”;
ejemplo1_begin_049;;;;;;katy:jump:0.05;;katy;¡Aaaajajajajajajaaajaja!;
ejemplo1_begin_050;;;;;;;;;Sííííí totalmente, mi familia siempre me dijo que cuando estaba en ese trabajo era mucho más iracunda.;
ejemplo1_begin_051;;;;;;;;berto;Jeje, a mi realmente me cuesta imaginarte estando enojada, siempre estás… radiante, con buenos ánimos.;
ejemplo1_begin_052;;;;;;;;*;Ella juega con su cabello;
ejemplo1_begin_053;;;;;;;;katy;¿Ah sí? ¿Tú crees?;
ejemplo1_begin_054;;;;;;;;berto;Sí, totalmente.;
ejemplo1_begin_055;;;;;;;;*;Tras caminar un rato más el pulso se me va normalizando y los temas de conversación son cada vez más espontáneos.;
ejemplo1_begin_056;;;;;;;;;Llegamos a nuestro destino, “Puerko-kun” con unas increíbles ofertas que terminan hoy mismo, el local tiene una entrada amplia que deja ver a los clientes comiendo.;
ejemplo1_begin_057;;;;;;;;katy;¡Que rico huele! ¡Vamos vamos!;
ejemplo1_begin_058;;;;;;katy:move:-20,katy:destroy;;*;Ella se adelanta mientras me hace señas para acercarme, sin pensarlo demasiado simplemente entro después de ella;
ejemplo1_begin_059;puerkokun;;;;;katy & mesero;;;Al instante en que entramos nos atiende un mesero. Nos posiciona en una mesa y nos entrega los menús.;
ejemplo1_begin_060;;;;;;;;mesero;Recuerden que si piden el especial, la bebida a su elección viene gratis, cuando estén listos háganmelo saber para tomar su orden.;
ejemplo1_begin_061;;;;;;;;berto;Muchas gracias.;
ejemplo1_begin_062;;;;;;mesero:move:120:1.4;;*;Apenas tomo el menú con las manos Katy me habla;
ejemplo1_begin_063;;;;;;;;katy;Listo, ya sé que voy a pedir;
ejemplo1_begin_064;;;;;;;;berto;¿Eh? Pero si ni siquiera has visto el menú;
ejemplo1_begin_065;;;;;;;;katy;No pero yo vine a por la oferta de hamburguesas con papas fritas y eso voy a pedir.;
ejemplo1_begin_066;;;;;;;;berto;Entiendo;
ejemplo1_begin_067;;;;;;;;*;Parece que vino bastante preparada, yo también vine por esa misma oferta pero no estaría de más mirar el menú a ver si hay algo más de mi agrado.;
ejemplo1_begin_068;;;;;;;;;Explorando el menú veo distintos tipos de comida rápida y también de comida no-rápida sin embargo, algo llama mi atención.;
ejemplo1_begin_069;;;;;;;;;Al final del menú leo “Chocolate con estampado o forma a tu elección, ideal para sorprender a tu pareja con un delicioso aperitivo”.;
ejemplo1_begin_070;;;;;;;;;¿Cualquier estampado a mi elección? Tengo la duda pero… el mesero parece ocupado.;
ejemplo1_begin_071;;;;;;mesero:move:80:1;;;Justo cuando poso mis ojos sobre él, me ve y se acerca;
ejemplo1_begin_072;;;;;;;;mesero;¿Necesitan algo?;
ejemplo1_begin_073;;;;;;;;katy;Sí, yo quiero la oferta de hamburguesas con papas fritas.;
ejemplo1_begin_074;;;;;;;;mesero;Excelente ¿Y usted caballero?;
ejemplo1_begin_075;;;;;;;;berto;Yo tengo una duda con… esto.;
ejemplo1_begin_076;;;;;;;;mesero;Oh claro, ya veo, verá…;
ejemplo1_begin_077;;;;;;mesero:zoom:2.4;;*;El mesero se acerca a mi oído y me lo dice en voz baja como si fuese un secreto.;
ejemplo1_begin_078;;;;;;;;mesero;Contamos con un equipo de modelado de chocolates muy profesional, si nos da una imagen de referencia, una figura, o una idea podemos crear un chocolate con la forma que usted desee.;
ejemplo1_begin_079;;;;;;;;;Estoy seguro de que a esta chica le gustaría un detalle como ese.;
ejemplo1_begin_080;;;;;;;;*;Ya veo, está decidido, voy a pedir este chocolate pero… no sé qué forma darle… Agh… ¿qué le digo?;
#decision;;;;;;;;;;
give_chocolate_heart;;ejemplo1/ejemplo1_002_chocolate_heart;Chocolate con forma de corazón;;;;;;;
give_chocolate_alice;;ejemplo1/ejemplo1_002_chocolate_alice;Chocolate con forma de Alice;;;;;;;
give_chocolate_calculator;;ejemplo1/ejemplo1_002_chocolate_calculator;Chocolate con forma de calculadora;;;;;;;
